# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000    4793017.00000000 1006.53356934
0.00100    4792511.50000000 1581.52880859
0.00200    4790906.50000000 2371.49877930
0.00300    4788202.00000000 3447.50537109
0.00400    4784526.00000000 4306.07373047
0.00500    4779732.50000000 5162.11132812
0.00600    4773943.50000000 5012.64062500
0.00700    4767108.00000000 5720.52978516
0.00800    4759208.00000000 7709.91748047
0.00900    4750257.50000000 9263.00292969
0.01000    4740266.50000000 9385.72851562
0.01100    4729261.50000000 9363.93847656
0.01200    4717251.00000000 13797.95898438
0.01300    4704234.50000000 14818.33886719
0.01400    4690224.00000000 13718.90527344
0.01500    4675240.50000000 15708.80859375
0.01600    4659249.00000000 13069.19433594
0.01700    4642293.00000000 13787.61132812
0.01800    4624406.50000000 15815.47070312
0.01900    4605561.50000000 13816.68554688
0.02000    4585810.50000000 26001.54687500
0.02100    4565080.00000000 21090.67187500
0.02200    4543479.50000000 15675.00585938
0.02300    4520987.50000000 21158.22265625
0.02400    4497612.50000000 21925.86132812
0.02500    4473389.50000000 24424.70703125
0.02600    4448341.50000000 25222.09765625
0.02700    4422440.00000000 24146.52343750
0.02800    4395736.00000000 21033.59765625
0.02900    4368277.50000000 23588.69921875
0.03000    4340015.50000000 22199.17968750
0.03100    4310985.50000000 28969.82421875
0.03200    4281230.00000000 23311.29882812
0.03300    4250800.00000000 23846.98828125
0.03400    4219626.50000000 22153.04101562
0.03500    4187827.00000000 22614.26562500
0.03600    4155334.25000000 25368.31640625
0.03700    4122227.50000000 25846.36718750
0.03800    4088477.25000000 28701.11132812
0.03900    4054158.00000000 29189.93750000
0.04000    4019248.50000000 39549.40625000
0.04100    3983797.00000000 30117.50585938
0.04200    3947826.75000000 25463.48437500
0.04300    3911330.75000000 25814.78320312
0.04400    3874347.75000000 31382.21875000
0.04500    3836910.75000000 34417.08984375
0.04600    3799033.75000000 40174.78515625
0.04700    3760737.50000000 35200.50390625
0.04800    3722025.50000000 32828.26562500
0.04900    3682965.75000000 27622.24414062
0.05000    3643528.25000000 41809.48828125
0.05100    3603768.75000000 50596.91406250
0.05200    3563698.25000000 28331.40234375
0.05300    3523342.00000000 28539.07226562
0.05400    3482713.25000000 31605.62304688
0.05500    3441845.25000000 40476.10156250
0.05600    3400753.00000000 31984.08203125
0.05700    3359461.00000000 35072.77343750
0.05800    3317975.00000000 44046.12109375
0.05900    3276350.75000000 35384.58984375
0.06000    3234576.25000000 35515.64843750
0.06100    3192686.00000000 44537.97265625
0.06200    3150707.00000000 47638.69140625
0.06300    3108653.25000000 29843.07226562
0.06400    3066528.25000000 29898.65234375
0.06500    3024371.25000000 38923.66015625
0.06600    2982200.00000000 32968.22265625
0.06700    2940035.25000000 35986.03125000
0.06800    2897869.25000000 38990.83203125
0.06900    2855763.00000000 53973.92578125
0.07000    2813714.00000000 32962.66015625
